id,category,occasionSlug,sourceKey,bucket,reason,shape,extractOk,extractWhy,gate1Hit,entryType,arabicEmpty,translationEmpty,transliterationEmpty,instructionInTranslation,arabicFrameHit,quranNarrativeSubclause
78:189,What to say to the disbeliever if he sneezes and praises Allah,social,dua-dhikr,BUILDABLE,passes Gate 1/2/3 as currently coded,none,no,no extraction shape applies to this record,,,,,,,,
79:190,Invocation for the groom,family-children,hisn,BUILDABLE,passes Gate 1/2/3 as currently coded,none,no,no extraction shape applies to this record,,,,,,,,
8:12,What to say before performing ablution,prayer,dua-dhikr,BUILDABLE,passes Gate 1/2/3 as currently coded,none,no,no extraction shape applies to this record,,,,,,,,
81:192,Invocation to be recited before intercourse,family-children,hisn,BUILDABLE,passes Gate 1/2/3 as currently coded,none,no,no extraction shape applies to this record,,,,,,,,
83:194,What to say if you see someone afflicted by misfortune,praise-dhikr,hisn,BUILDABLE,passes Gate 1/2/3 as currently coded,none,no,no extraction shape applies to this record,,,,,,,,
85:196,The Expiation of Assembly - Kaffaratul-Majlis,forgiveness,hisn,BUILDABLE,passes Gate 1/2/3 as currently coded,none,no,no extraction shape applies to this record,,,,,,,,
89:200,Invocation for someone who tells you I love you for the sake of Allah,social,hisn,BUILDABLE,passes Gate 1/2/3 as currently coded,none,no,no extraction shape applies to this record,,,,,,,,
9:13,What to say upon completing ablution,prayer,hisn,BUILDABLE,passes Gate 1/2/3 as currently coded,none,no,no extraction shape applies to this record,,,,,,,,
9:14,What to say upon completing ablution,prayer,hisn,BUILDABLE,passes Gate 1/2/3 as currently coded,none,no,no extraction shape applies to this record,,,,,,,,
9:15,What to say upon completing ablution,prayer,hisn,BUILDABLE,passes Gate 1/2/3 as currently coded,none,no,no extraction shape applies to this record,,,,,,,,
90:201,Invocation for someone who offers you a share of his wealth,provision,hisn,BUILDABLE,passes Gate 1/2/3 as currently coded,none,no,no extraction shape applies to this record,,,,,,,,
91:202,Invocation (upon receipt of the loan) for someone who lends you money,provision,hisn,BUILDABLE,passes Gate 1/2/3 as currently coded,none,no,no extraction shape applies to this record,,,,,,,,
95:206,Invocation for riding in a vehicle or on an animal,travel,hisn,BUILDABLE,passes Gate 1/2/3 as currently coded,none,no,no extraction shape applies to this record,,,,,,,,
